STATION,ICAO,L,AT,,LO,NG,,ELEV,M
AUSTIN MUNI,KAUM,43,40,N,92,55,W,375,X
AUSTIN/MABRY,KATT,30,19,N,97,46,W,201,X
AUXERRE (AUT),LFLA,47,47,N,3,32,E,212,X
AVALON,KAVX,33,24,N,118,25,W,482,X
AVALON AIRPORT,YMAV,38,2,S,144,29,E,8,X
AVIANO (IT/US-AF,LIPA,46,1,N,12,35,E,126,X
AVIANO (USAF),LIYW,46,1,N,12,37,E,126,X
AVIANO AB,KQHJ,46,0,N,12,36,E,126,X
AVIANO AB,KQHK,46,0,N,12,36,E,126,X
AVNO (DAN-AFB),EKAV,55,4,N,11,46,E,4,X
AVOCA/WILKES B.,KAVP,41,20,N,75,43,W,291,X
AVORD (FAFB),LFOA,47,2,N,2,38,E,179,X
AWASH,HAAW,8,58,N,40,10,E,1052,X
AWASSA (LAKE),HALA,7,4,N,38,30,E,1652,X
AWEIL/UWAYL,HSAW,8,46,N,27,23,E,414,X
AWG-1     SEA,EHMA,53,30,N,5,57,E,50,X
AXIM,DGTX,4,52,N,2,13,W,40,X
AXUM,HAAX,14,7,N,38,43,E,2134,X
AYACUCHO/CORONEL,SPHO,13,10,S,74,13,W,2749,X
AYDIN,LTBD,37,51,N,27,51,E,57,X
AYERS ROCK,YAYE,25,11,S,130,59,E,496,X
AZUL AIRPORT,SAZA,36,45,S,59,49,W,132,X
BABELTHUAP/KOROR,PTRO,7,22,N,134,33,E,54,X
BABOLSAR,OINB,36,43,N,52,39,E,-15,X
BACAU,LRBC,46,31,N,26,55,E,185,X
BACO/BAKO,HABC,5,49,N,36,37,E,1311,X
BACOLOD/NEGROS I,RPVB,10,39,N,122,55,E,9,X
BAD AXE,KBAX,43,47,N,82,59,W,234,X
BADGER (MARS),CWDI,48,58,N,56,4,W,105,X
BAFATA,GGBF,12,10,N,14,40,W,43,X
BAFIA,FKAF,4,43,N,11,15,E,500,X
BAGANI,FYBG,18,7,S,21,38,E,1011,X
BAGE/CMDT KRAEME,SBBG,31,23,S,54,7,W,180,X
BAGHDAD     ORBI,KQTZ,33,15,N,44,14,E,34,X
BAGHDAD INTL,ORBI,33,16,N,44,14,E,35,X
BAGHDAD-SIRSENK,ORBB,33,13,N,44,13,E,34,X
BAGHDOGRA (IN-AF,VEBD,26,41,N,88,20,E,126,X
BAGO/PEGU,VBPG,17,19,N,96,30,E,15,X
BAGOTVILLE(CAN M,CYBG,48,20,N,70,59,W,159,X
BAGRAM,KQSA,34,57,N,69,17,E,1487,X
BAGUIO/LUZON ISL,RPUB,16,23,N,120,37,E,1296,X
BAHAR DAR,HABD,11,36,N,37,19,E,1822,X
BAHAWALPUR,OPBW,29,21,N,71,43,E,120,X
BAHIA BLANCA (MI,SAZB,38,43,S,62,10,W,83,X
BAHIA DE CARAQUE,SEBC,0,34,S,80,24,W,3,X
BAHIA SOLANO/JOS,SKBS,6,10,N,77,24,W,24,X
BAHIAS DE HUATUL,MMBT,15,46,N,96,16,W,143,X
BAHRAIN (NPMOF),KQNB,26,16,N,50,36,E,1,X
BAHRAIN INTL ARP,OBBI,26,16,N,50,38,E,2,X
BAI GAN,RCMT,26,13,N,119,59,E,1,X
BAIA MARE,LRBM,47,40,N,23,28,E,185,X
BAIE COMEAU AIRP,CYBC,49,7,N,68,12,W,22,X
BAINBRIDGE,KBGE,30,58,N,84,38,W,43,X
BAKER,KBHK,46,21,N,104,15,W,902,X
BAKER,KBKE,44,51,N,117,49,W,1024,X
BAKER LAKE,CXBL,64,19,N,96,0,W,51,X
BAKER LAKE AIRPO,CYBK,64,17,N,96,4,W,18,X
BAKERSFIELD,KBFL,35,26,N,119,3,W,151,X
BAKU/BINE ARPT,UBBB,40,27,N,50,4,E,-6,X
BALAD       ORBD,KQTO,33,57,N,44,22,E,50,X
BALATON,LHSM,46,41,N,17,10,E,125,X
BALE/MULHOUSE,LFSB,47,36,N,7,31,E,271,X
BALER/LUZON ISLA,RPUR,15,46,N,121,34,E,6,X
BALI INTL,WADD,8,44,S,115,10,E,216,X
BALI INTL/NGURAH,WRRR,8,45,S,115,10,E,1,X
BALIKESIR (TUR-A,LTBF,39,37,N,27,55,E,102,X
BALIKESIR KORFEZ,LTFD,39,33,N,27,1,E,16,X
BALIKPAPAN/SEPIN,WRLL,1,16,S,116,54,E,3,X
BALLENAS IL AUTO,CWGB,49,21,N,124,10,W,5,X
BALMACEDA,SCBA,45,55,S,71,40,W,524,X
BALTI INTL ARPT,LUBL,47,50,N,27,47,E,232,X
BALTIMORE/DWNTWN,KDMH,39,17,N,76,37,W,5,X
BALTIMORE/MARTIN,KMTN,39,19,N,76,25,W,7,X
BALTO/WASH INTL,KBWI,39,10,N,76,41,W,59,X
BAM,OIKM,29,5,N,58,27,E,985,X
BAMAKO/SENOU (MI,GABS,12,31,N,7,57,W,381,X
BAMBARI,FEFM,5,50,N,20,38,E,475,X
BAMENDA,FKKV,6,2,N,10,7,E,1239,X
BAMIYAN,OABN,34,49,N,67,49,E,2550,X
BAN HOUAYXAY/BAN,VLHS,20,15,N,100,25,E,421,X
BANAK/LAKSELV (A,ENNA,70,4,N,24,58,E,8,X
BANCROFT AUTOB,CWRK,45,4,N,77,52,W,331,X
BANDA ACEH/BLANG,WITT,5,31,N,95,25,E,21,X
BANDAR ABBAS INT,OIKB,27,13,N,56,22,E,10,X
BANDAR LENGEH,OIBL,26,32,N,54,49,E,14,X
BANDAR MAHSHAHR,OIAM,30,33,N,49,9,E,4,X
BANDARA,WADL,8,45,S,116,17,E,97,X
BANDIRMA (CIV/AF,LTBG,40,19,N,27,58,E,49,X
BANDUNDU,FZBO,3,17,S,17,21,E,324,X
BANDUNG/HUSEIN(A,WIIB,6,54,S,107,34,E,740,X
BANFF (MARS),CWZG,51,12,N,115,32,W,1397,X
BANGALORE ARP,VOBG,12,57,N,77,38,E,897,X
BANGASSOU,FEFG,4,43,N,22,49,E,500,X
BANGKOK/DON MUAN,VTBD,13,55,N,100,36,E,3,X
BANGOR,KBGR,44,48,N,68,49,W,57,X
BANGSAN RWS,KQEJ,38,7,N,128,2,E,220,X
BANGUI/M'POKO (M,FEFF,4,24,N,18,31,E,366,X
BANJA LUKA,LQBK,44,56,N,17,18,E,122,X
BANJARMASIN/SYAM,WRBB,3,25,S,114,45,E,20,X
BANJUL/YUNDUM IN,GBYD,13,20,N,16,39,W,36,X
BANKSTOWN AIRPOR,YSBK,33,55,S,150,58,E,14,X
BANNU,OPBN,32,58,N,70,31,E,404,X
BANYO,FKAB,6,46,N,11,49,E,1110,X
BAOTOU,ZBOW,40,40,N,109,59,E,1049,X
BAR HARBOR,KBHB,44,27,N,68,22,W,26,X
BARACOA ORIENTE,MUBA,20,21,N,74,30,W,9,X
BARAHONA,MDBH,18,15,N,71,6,W,3,X
BARBACENA (CIV/M,SBBQ,21,15,S,43,46,W,1171,X
BARBERTON,FABN,25,43,S,31,0,E,800,X
BARCELONA AIRPOR,LEBL,41,16,N,2,4,E,6,X
BARCELONA/GEN JO,SVBC,10,7,N,64,40,W,7,X
BARCELOS,SWBC,0,58,S,62,55,W,40,X
BARDAI-ZOUGRA(MI,FTTZ,21,26,N,17,3,E,1074,X
BARDENAS REALES,LEBR,42,12,N,1,26,W,295,X
BARDERA,HCMD,2,21,N,42,17,E,116,X
BARDUFOSS (CIV/M,ENDU,69,2,N,18,33,E,79,X
BAREILLY (IN-AFB,VIBY,28,22,N,79,24,E,173,X
BARI/PALESE MACC,LIBD,41,7,N,16,46,E,44,X
BARINAS,SVBI,8,37,N,70,13,W,204,X
BARKING SANDS/KA,PHBK,22,2,N,159,47,W,8,X
BARKSDALE AFB,KBAD,32,30,N,93,40,W,51,X
BARKSTON HEATH R,EGYE,52,58,N,0,34,W,112,X
BARNAUL,UNBB,53,22,N,83,32,E,255,X
BARNWELL,KBNL,33,15,N,81,23,W,75,X
BARNWELL AGDM,CXBW,49,48,N,112,18,W,824,X
BARQUISIMETO (MI,SVBM,10,4,N,69,22,W,614,X
BARRAGE ANGLIERS,CWRC,47,33,N,79,14,W,266,X
BARRANCABERMEJA,SKEJ,7,1,N,73,47,W,134,X
BARRANQUILLA/ERN,SKBQ,10,54,N,74,46,W,10,X
BARRIE (MARS),CWCU,44,22,N,79,46,W,295,X
BARRIE-ORO,CXBI,44,29,N,79,33,W,289,X
BARROW,PABR,71,17,N,156,48,W,7,X
BARTER ISLAND,PABA,70,8,N,143,35,W,2,X
BARTLESVILLE,KBVO,36,46,N,96,1,W,210,X
BARTOW MUNICIPAL,KBOW,27,56,N,81,46,W,39,X
BASANKUSU,FZEN,1,13,N,19,48,E,353,X
BASCO/BATAN ISLA,RPUO,20,26,N,121,58,E,11,X
BASE BERNSTEIN,KQLV,34,55,N,44,28,E,191,X
BASHKORTOSTAN,UWUU,54,34,N,55,52,E,137,X
BASRAH,KQBS,30,34,N,47,46,E,2,X
BASRAH AIR STN,EQBR,30,33,N,47,39,E,20,X
BASRAH/MAGAL,ORMM,30,34,N,47,40,E,2,X
BASTIA/PORETTA,LFKB,42,32,N,9,28,E,12,X
BASTROP MOREHOUS,KBQP,32,45,N,91,53,W,51,X
BATA (RIO MUNI),FGBT,1,53,N,9,48,E,8,X
BATAJNICA,LYBT,44,56,N,20,15,E,80,X
BATAVIA,KI69,39,5,N,84,13,W,255,X
BATESLAND US18,KBAT,43,8,N,102,6,W,1042,X
BATESVILLE,KBVX,35,44,N,91,39,W,141,X
BATHURST ARPT(AW,CZBF,47,37,N,65,45,W,59,X
BATMAN (TUR-AFB),LTCJ,37,55,N,41,7,E,540,X
BATNA,DABT,35,45,N,6,19,E,1052,X
BATON ROUGE,KBTR,30,32,N,91,9,W,21,X
BATOURI,FKKI,4,28,N,14,22,E,656,X
BATSFJORD,ENBS,70,37,N,29,43,E,10,X
BATTAMBANG,VDGB,13,5,N,103,12,E,13,X
BATTICALOA (AFB),VCCB,7,43,N,81,42,E,12,X
BATTLE CREEK,KBTL,42,19,N,85,14,W,290,X
BATTLE MOUNTAIN,KB23,40,36,N,116,52,W,1381,X
BATUMI,UGSB,41,37,N,41,36,E,32,X
BAU-BAU/BETO AMB,WAAB,5,28,S,122,37,E,2,X
BAUCAU/TIMOR ISL,WPEC,8,30,S,126,24,E,522,X
BAUDETTE,KBDE,48,44,N,94,37,W,329,X
BAUERFIELD/EFATE,NVVV,17,41,S,168,18,E,21,X
BAURU,SBBU,22,19,S,49,4,W,590,X
BAY CITY,KBYY,28,58,N,95,52,W,14,X
BAY ST LOUIS,KHSA,30,22,N,89,27,W,7,X
BAYAMO,MUBY,20,24,N,76,37,W,64,X
BAYJI,KQBJ,34,58,N,43,28,E,138,X
BAYREUTH,EDQD,49,58,N,11,37,E,498,X
BEACH,K20U,46,56,N,103,59,W,840,X
BEALE AFB/MARYSV,KBAB,39,7,N,121,25,W,34,X
BEATRICE MUNICIP,KBIE,40,17,N,96,45,W,403,X
BEAUCEVILLE,CWHV,46,12,N,70,46,W,229,X
BEAUFORT,KMRH,34,44,N,76,39,W,3,X
BEAUFORT CNTY,KARW,32,25,N,80,38,W,4,X
BEAUFORT MCAS,KNBC,32,28,N,80,43,W,12,X
BEAUFORT WEST (M,FABY,32,21,S,22,34,E,842,X
BEAUHARNOS,CMBR,45,19,N,73,55,W,22,X
BEAUMONT,KBUO,33,55,N,116,58,W,692,X
BEAUMONT,KBMT,30,4,N,94,13,W,10,X
BEAUMONT/PORT AR,KBPT,29,57,N,94,2,W,5,X
BEAUPORT,CXBO,46,50,N,71,12,W,100,X
BEAUSOLEIL ISL A,CWPB,44,51,N,79,52,W,183,X
BEAUVAIS/TILLE(A,LFOB,49,28,N,2,7,E,111,X
BEAUVECHAIN (BAF,EBBE,50,45,N,4,46,E,127,X
BEAVER CREEK ARP,CYXQ,62,25,N,140,52,W,649,X
BEAVER FALLS ARP,KBVI,40,46,N,80,24,W,382,X
BEAVER ISLAND,KSJX,45,42,N,85,34,W,204,X
BEAVER ISLAND(MA,CWBV,44,49,N,62,19,W,10,X
BEAVER RIM,KBVR,42,35,N,108,17,W,2072,X
BEAVERLODGE,CWBM,55,12,N,119,24,W,745,X
BECHAR/OUAKDA,DAOR,31,39,N,2,16,W,773,X
BECKLEY,KBKW,37,48,N,81,7,W,764,X
BEDFORD,KBED,42,28,N,71,18,W,50,X
BEEF ISL/ROADTOW,TUPJ,18,26,N,64,31,W,4,X
BEER-SHEVA/TEYMA,LLBS,31,17,N,34,43,E,200,X
BEEVILLE MUNI,KBEA,28,22,N,97,47,W,82,X
BEGISHEVO,UWKE,55,34,N,52,5,E,196,X
BEHSOOD,OABD,34,17,N,67,50,E,2975,X
BEIHAI,ZGBH,21,29,N,109,6,E,16,X
BEIJING/PEKING,ZBAA,40,4,N,116,35,E,30,X
BEIRA,FQBR,19,48,S,34,53,E,16,X
BEIRUT (CIV/MIL),OLBA,33,49,N,35,28,E,19,X
BEITBRIDGE,FVBB,22,13,S,30,0,E,457,X
BEJA (POR/GER-AF,LPBJ,38,5,N,7,56,W,247,X
BEJAIA/SOUMMAM,DAAE,36,43,N,5,4,E,2,X
BEKESCSABA GLIDE,LHBC,46,41,N,21,10,E,86,X
BELEM/VAL DE CAE,SBBE,1,22,S,48,28,W,16,X
BELEN,KE80,34,39,N,106,50,W,1582,X
BELET UEN,HCMN,4,42,N,45,13,E,173,X
BELFAST HARBOUR,EGAC,54,37,N,5,52,W,5,X
BELFAST/ALDERGRO,EGAA,54,38,N,6,13,W,81,X
BELFORT/FONTAINE,LFSQ,47,37,N,6,52,E,423,X
BELGAUM/SAMBRA,VABM,15,50,N,74,37,E,747,X
BELGOROD,UUOB,50,39,N,36,35,E,224,X
BELGRADE/SURCIN,LYBE,44,49,N,20,17,E,99,X
BELIZE INTL,MZBZ,17,31,N,88,18,W,5,X
BELLA BELLA,CBBC,52,11,N,128,9,W,43,X
BELLA COOLA ARPT,CYBD,52,22,N,126,34,W,35,X
BELLAIRE,KACB,44,59,N,85,12,W,190,X
BELLARY,VOBI,15,9,N,76,50,E,449,X
BELLE FOURCHE,KEFC,44,43,N,103,52,W,982,X
BELLE FOURCHE,KBEL,44,48,N,104,3,W,971,X
BELLE FOURCHE,KBFU,43,56,N,105,27,W,1422,X
BELLE RIVER AUT0,CWDD,42,17,N,82,42,W,184,X
BELLEFONTAINE,KEDJ,40,22,N,83,49,W,342,X
BELLINGHAM,KBLI,48,48,N,122,32,W,50,X
BELMAR/FARMDALE,KBLM,40,10,N,74,7,W,48,X
BELO HORIZ/PAMPU,SBBH,19,51,S,43,57,W,785,X
BELO HORIZ/TANCR,SBCF,19,38,S,43,58,W,828,X
BELO HORIZONTE,SBPR,19,54,S,43,59,W,927,X
BELVIDERE,KBVD,43,54,N,101,8,W,728,X
BEMIDJI,KBJI,47,30,N,94,55,W,420,X
BEN YA AKOV,LLIB,32,59,N,35,34,E,282,X
BENBECULA ISLAND,EGPL,57,28,N,7,22,W,6,X
BEND,KBDN,44,6,N,121,12,W,1055,X
BENGALURU,VOBL,13,12,N,77,42,E,915,X
BENGKULA/PADANGK,WIPL,3,52,S,102,19,E,16,X
BENGUELA/MONBACA,FNBG,12,37,S,13,24,E,36,X
BEN-GURION(CIV/M,LLBG,32,0,N,34,53,E,49,X
BENI SUEF AFB,HEBF,29,13,N,31,1,E,33,X
BENIN CITY(CIV/M,DNBE,6,19,N,5,35,E,79,X
BENINA/BENGHAZI,HLLB,32,4,N,20,16,E,132,X
BENJAMIN CONSTAN,SBBC,4,22,S,70,1,W,65,X
BENKELMAN-JONES,K42V,40,3,N,101,32,W,953,X
BENNINGTON,KDDH,42,53,N,73,15,W,244,X
BENSON MUNI,KBBB,45,19,N,95,39,W,317,X
BENSON RAF,EGUB,51,37,N,1,4,W,63,X
BENTON HARBOR,KBEH,42,8,N,86,25,W,191,X
BENTONVILLE,KH00,36,21,N,94,13,W,395,X
BENTONVILLE,KVBT,36,21,N,94,13,W,395,X
BENTONVILLE (NW),KXNA,36,17,N,94,18,W,392,X
BERBERA (CIV/MIL,HCMI,10,25,N,45,1,E,9,X
BERBERATI,FEFT,4,15,N,15,48,E,583,X
BERENS RIVER APT,CYBV,52,21,N,97,2,W,222,X
BERENS RIVER APT,CWCF,52,21,N,97,2,W,222,X
BERGAMO/ORIO SER,LIME,45,40,N,9,41,E,237,X
BERGEN/FLESLAND,ENBR,60,17,N,5,13,E,50,X
BERGERAC/ROUMANI,LFBE,44,49,N,0,31,E,52,X
BERKELEY MONCKS,KMKS,33,11,N,80,2,W,23,X
BERLEVAG,ENBV,70,52,N,29,1,E,13,X
BERLIN,KBML,44,35,N,71,11,W,345,X
BERLIN/SCHONEFEL,EDDB,52,22,N,13,31,E,48,X
BERLIN/TEGEL (FA,EDDT,52,34,N,13,19,E,37,X
BERLIN/TEMPELHOF,EDDI,52,28,N,13,24,E,49,X
BERMUDA NAS,TXKF,32,22,N,64,41,W,6,X
BERN/BELP,LSZB,46,55,N,7,30,E,505,X
BERNADO OHIGGINS,SCBO,63,19,S,56,41,W,10,X
BERRA DO GARCAS,SBBW,15,52,S,52,22,W,350,X
BERTHOUD PASS,K0CO,39,48,N,105,46,W,3807,X
BERTOUA,FKKO,4,32,N,13,43,E,670,X
BERTRIX (BEL-AFB,EBBX,49,53,N,5,13,E,461,X
BERU ISLAND,NGBR,1,21,S,176,0,E,3,X
BESALAMPY,FMNQ,16,45,S,44,28,E,36,X
BESANCON/THISE(A,LFSA,47,15,N,5,58,E,309,X
BESLAN,URMO,43,12,N,44,36,E,510,X
BETARE-OYA,FKAO,5,35,N,14,4,E,804,X
BETHEL,PABE,60,47,N,161,51,W,41,X
BETHLEHEM AIRPOR,FABM,28,15,S,28,19,E,1682,X
BETTLES,PABT,66,55,N,151,31,W,195,X
BEVERLY,KBVY,42,35,N,70,55,W,28,X
BEZIERS/VIAS,LFMU,43,19,N,3,21,E,17,X
BHAIRAWA AIRPORT,VNBW,27,31,N,83,27,E,109,X
BHAMO,VBBM,24,16,N,97,12,E,113,X
BHATINDA,VIBT,30,10,N,74,34,E,211,X
BHAUNAGAR,VABV,21,45,N,72,12,E,11,X
BHOPAL/BAIRAGARH,VABP,23,16,N,77,20,E,523,X
BHUBANESWAR,VEBS,20,15,N,85,49,E,46,X
BHUJ-RUDRAMATA(A,VABJ,23,17,N,69,40,E,80,X
BIAK/FRANS KAISI,WABB,1,10,S,136,7,E,11,X
BIARRITZ/ANGLET,LFBZ,43,28,N,1,31,W,71,X
BICYCLE LAKE,KBYS,35,17,N,116,37,W,716,X
BIDA,DNBI,9,5,N,6,1,E,143,X
BIE/KUITO/SILVA,FNKU,12,22,S,16,56,E,1699,X
BIERSET/LIEGE (C,EBLG,50,38,N,5,27,E,178,X
BIERSET/LIEGE (M,EBLH,50,38,N,5,27,E,178,X
BIG BEAR CITY,KL35,34,16,N,116,51,W,2059,X
BIG BEND MET,FDBB,26,51,S,31,55,E,94,X
BIG CREEK(AUTO),CWBG,51,15,N,123,4,W,1670,X
BIG PINEY,KBPI,42,35,N,110,6,W,2117,X
BIG RAPIDS,KRQB,43,43,N,85,30,W,302,X
BIG RIVER LAKES,PALV,60,49,N,152,18,W,12,X
BIG SPRING,KBPG,32,13,N,101,31,W,784,X
BIG TROUT LAKE,CYTL,53,49,N,89,53,W,224,X
BIGFORK,KFOZ,47,46,N,93,39,W,411,X
BIGGIN HILL,EGKB,51,19,N,0,1,E,183,X
BILASPUR,VABI,31,15,N,76,40,E,587,X
BILBAO/SONDICA,LEBB,43,17,N,2,55,W,34,X
BILLINGS,KBIL,45,48,N,108,33,W,1091,X
BILLUND AIRPORT,EKBI,55,43,N,9,9,E,66,X
BILMA,DRRI,18,40,N,12,55,E,357,X
BILOXI/KEESLER,KBIX,30,25,N,88,55,W,10,X
BIMA/MOHAMMAD SA,WRRB,8,33,S,118,42,E,2,X
BINGA,FVBI,17,37,S,27,19,E,617,X
BINGHAMTON,KBGM,42,13,N,75,59,W,490,X
BINGOL,LTCU,38,52,N,40,35,E,1061,X
BINTULU/KALIMANT,WBGB,3,7,N,113,1,E,5,X
BIR MOGHREIN (MI,GQPT,25,13,N,11,37,W,360,X
BIRAO,FEFI,10,16,N,22,46,E,464,X
BIRATNAGAR AIRPO,VNVT,26,28,N,87,16,E,72,X
BIRCHWOOD,PABV,61,25,N,149,31,W,29,X
BIRJAND,OIMB,32,52,N,59,17,E,1491,X
BIRMINGHAM,KBHM,33,34,N,86,45,W,197,X
BIRMINGHAM AIRPO,EGBB,52,28,N,1,45,W,99,X
BIRNI-N'KONNI,DRRB,13,48,N,5,15,E,273,X
BISBINO MOUNTAIN,LIMO,45,52,N,9,4,E,1322,X
BISCAROSSE/PAREN,LFBS,44,25,N,1,15,W,39,X
BISHA (CIV/MIL),OEBH,19,58,N,42,37,E,1157,X
BISHKEK MANAS,KQHT,43,4,N,74,29,E,635,X
BISHKEK/MANAS,UAFM,43,4,N,74,29,E,760,X
BISHO,FABE,32,53,S,27,16,E,594,X
BISHOP,KBIH,37,22,N,118,21,W,1253,X
BISKRA,DAUB,34,47,N,5,43,E,87,X
BISLIG/MINDANAO,RPWZ,8,13,N,126,19,E,3,X
BISMARCK,KBIS,46,46,N,100,45,W,505,X
BISON,K6V5,45,31,N,102,28,W,851,X
BISSAU (CIV/MIL),GGOV,11,52,N,15,39,W,36,X
BITAM,FOOB,2,4,N,11,28,E,599,X
BITTERCREEK,KBIT,41,39,N,108,35,W,2160,X
BIZERTE/SIDI AHM,DTTB,37,15,N,9,48,E,3,X
BJORNOYA ISLAND,ENBJ,74,31,N,19,1,E,14,X
BLACK RIVER FALL,KBCK,44,15,N,90,51,W,255,X
BLACKBURNE/PLYMO,TRPM,16,45,N,62,10,W,12,X
BLACKPOOL AIRPOR,EGNH,53,46,N,3,1,W,10,X
BLACKSBURG/VA T.,KBCB,37,13,N,80,25,W,650,X
BLACKWELL,KBKN,36,45,N,97,21,W,314,X
BLAGOVESHCHENSK,UHBB,50,26,N,127,25,E,195,X
BLAIR MUNI,KBTA,41,25,N,96,7,W,396,X
BLAIRSTOWN,K1N7,40,58,N,75,0,W,113,X
BLAIRSVILLE,KDZJ,34,51,N,84,0,W,582,X
BLAKELY EARLY C,KBIJ,31,24,N,84,54,W,65,X
BLANC SABLON ARP,CYBX,51,27,N,57,10,W,35,X
BLANDING,K4BL,37,37,N,109,28,W,1840,X
BLEHEIM/WOODBOUR,NZWB,41,31,S,173,52,E,32,X
BLOCK ISLAND,KBID,41,10,N,71,34,W,33,X
BLOEMFONTEIN/HER,FABL,29,6,S,26,18,E,1348,X
BLOOD TRIBE AGDM,CPBT,49,34,N,113,3,W,980,X
BLOOMINGTON,KBMG,39,9,N,86,37,W,257,X
BLOOMINGTON/NORM,KBMI,40,28,N,88,55,W,267,X
BLUE RIVER (MAN),CYCP,52,8,N,119,17,W,683,X
BLUE RIVER (MARS,CWSV,52,6,N,119,17,W,683,X
BLUEFIELD,KBLF,37,18,N,81,12,W,873,X
BLUEFIELDS,MNBL,12,0,N,83,46,W,5,X
BLYTHE,KBLH,33,37,N,114,43,W,119,X
BLYTHEVILLE,KHKA,35,56,N,89,50,W,78,X
BLYTHEVILLE,KBYH,35,58,N,89,57,W,78,X
BO,GFBO,7,57,N,11,46,W,93,X
BOA VISTA (CIV/M,SBBV,2,51,N,60,42,W,140,X
BOAT BLUFF (LGT,CWZM,52,39,N,128,31,W,15,X
BOBO-DIOULASSO,DFOO,11,10,N,4,19,W,460,X
BOCA RATON,KBCT,26,23,N,80,6,W,4,X
BOCADOACRE,SBBA,8,43,S,67,19,W,112,X
BOCAS DEL TORO,MPBO,9,21,N,82,15,W,3,X
BODAJBO,UIKB,57,51,N,114,12,E,278,X
BODO AGDM,CXBA,52,7,N,110,6,W,687,X
BODO VI (CIV/MIL,ENBO,67,16,N,14,22,E,13,X
BODRUM MILAS,LTFE,37,15,N,27,40,E,6,X
BOENDE,FZGN,0,13,S,20,51,E,351,X
BOGALUSA CARR F,KBXA,30,49,N,89,52,W,36,X
BOGOTA/ELDORADO,SKBO,4,42,N,74,7,W,2548,X
BOGRA,VGBG,24,51,N,89,22,E,20,X
BOGUE/SWANSBORO,KNJM,34,40,N,77,1,W,7,X
BOHICON/CANA,DBBC,7,10,N,2,4,E,167,X
BOISE,KBOI,43,34,N,116,14,W,875,X
BOJNOURD,OIMN,37,28,N,57,19,E,1074,X
BOKE/BARALANDE,GUOK,10,55,N,14,19,W,69,X
BOKORO,FTTK,12,22,N,17,3,E,301,X
BOL AIRPORT,LDSB,43,17,N,16,41,E,542,X
BOLAMA,GGBO,11,34,N,15,28,W,20,X
BOL-BERIM,FTTL,13,25,N,14,43,E,292,X
BOLE,DGLB,9,1,N,2,28,W,301,X
BOLIVAR,SAZI,36,11,S,61,5,W,94,X
BOLIVAR/WHITEHST,KM08,35,13,N,89,3,W,152,X
BOLOGNA/BORGO (A,LIPE,44,31,N,11,18,E,42,X
BOLZANO(CIV/IT-A,LIPB,46,28,N,11,19,E,241,X
BOM JESUS DA LAP,SBLP,13,16,S,43,25,W,440,X
BOMBAY/JUHU,VAJJ,19,7,N,72,49,E,4,X
BOMBAY/SANTACRUZ,VABB,19,6,N,72,52,E,8,X
BONAIRE/FLAMINGO,TNCB,12,8,N,68,17,W,6,X
BONAVISTA,CWVA,48,40,N,53,7,W,27,X
BONDO,FZKP,3,47,N,23,49,E,474,X
BONDOUKOU/SOKO,DIBU,8,3,N,2,46,W,370,X
BONGOR,FTTB,10,17,N,15,23,E,328,X
BONIFATI (CAPE),LIBW,39,34,N,15,52,E,485,X
BONIFAY TRI-CTY,K1J0,30,51,N,85,36,W,26,X
BONILLA ISL (MAP,CWWL,53,30,N,130,37,W,17,X
BONILLA ISLAND (,CWVB,53,30,N,130,38,W,16,X
BONNARD(AUTO),CWKD,50,44,N,71,1,W,497,X
BONNERS FERRY,K65S,48,44,N,116,18,W,713,X
BONTHE,GFBN,7,31,N,12,30,W,8,X
BOONE MUNI,KBNW,42,2,N,93,50,W,354,X
BOONE WATAUGA CT,KTNB,36,12,N,81,39,W,911,X
BOONVILLE,KVER,38,57,N,92,41,W,218,X
BOOTHVILLE,KBVE,29,19,N,89,24,W,1,X
BOR,HSBR,6,12,N,31,33,E,420,X
BORA-BORA/MOTU-M,NTTB,16,26,S,151,45,W,3,X
BORDEAUX,KBRX,41,57,N,104,57,W,1524,X
BORDEAUX/MERIGNA,LFBD,44,49,N,0,42,W,61,X
BORDEN,CYBN,44,16,N,79,55,W,223,X
BORDER (MAPS),CWTB,55,19,N,63,13,W,479,X
BORDJ MOKHTAR,DATM,21,23,N,0,55,E,396,X
BORDJ OMAR DRISS,DAAW,28,7,N,6,49,E,387,X
BORGER,KBGD,35,42,N,101,24,W,927,X
BORISPOL'/KEIV,UKBB,50,19,N,30,53,E,119,X
BORLANGE (SWE-AF,ESSD,60,25,N,15,30,E,161,X
BOROMO,DFCO,11,45,N,2,55,W,271,X
BORUJERD,OICJ,33,54,N,48,45,E,1600,X
BOSASO,HCMF,11,16,N,49,10,E,2,X
BOSCOBEL,KOVS,43,9,N,90,41,W,202,X
BOSCOMBE DOWN,EGDM,51,10,N,1,45,W,124,X
BOSHANG LINCANG,ZPLC,23,42,N,100,1,E,2107,X
BOSSANGOA,FEFS,6,28,N,17,25,E,465,X
BOSSEMBELE,FEFL,5,16,N,17,37,E,674,X
BOSTON,KBOS,42,22,N,71,1,W,6,X
BOUAKE (CIV/MIL),DIBK,7,43,N,5,4,W,376,X
BOUAR,FEFO,5,58,N,15,37,E,1020,X
BOUGOUNI,GABG,11,25,N,7,30,W,351,X
BOULDER CITY,KBVU,35,57,N,114,52,W,671,X
BOULDER MUNI,KBDU,40,2,N,105,14,W,1612,X
