STATION,ICAO,L,AT,,LO,NG,,ELEV,M
AUCH/LAMOTHE (AU,LFDH,43,40,N,0,36,E,128,X
AUCKLAND INTL AR,NZAA,37,1,S,174,48,E,6,X
AUDUBON,KADU,41,42,N,94,55,W,392,X
AUDUBON PARK,KAUD,29,56,N,90,8,W,2,X
AUGSBURG/MULHAUS,EDMA,48,25,N,10,55,E,463,X
AUGUSTA,KAUG,44,19,N,69,48,W,109,X
AUGUSTA/BUSH,KAGS,33,22,N,81,58,W,44,X
AUGUSTA/DANIEL,KDNL,33,28,N,82,2,W,130,X
AUGUSTO VERGARA,MPNU,7,49,N,80,16,W,21,X
AUPALUK,CYLA,59,17,N,69,35,W,35,X
AURANGABAD AIRPO,VAAU,19,51,N,75,24,E,579,X
AURILLAC (AUT),LFLW,44,53,N,2,25,E,639,X
AURORA,KAUH,40,53,N,98,0,W,550,X
AURORA,KUAO,45,15,N,122,46,W,59,X
AURORA ARP,MGGI,14,35,N,90,31,W,1489,X
AUS,FYAS,26,42,S,16,19,E,1480,X
AUSTIN,QASM,43,40,N,92,57,W,365,X
AUSTIN,KU31,39,30,N,117,4,W,2014,X
AUSTIN,KAUS,30,11,N,97,41,W,166,X
AUSTIN EXEC,KEDC,30,24,N,97,34,W,189,X
